name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
Kepler-1679 b,Confirmed,,,,,,,0.185,
Kepler-167 Ab,Confirmed,,,,,,,0.15327,0.0062
Kepler-167 Ac,Confirmed,,,,,,,0.14935,0.00616
Kepler-167 Ad,Confirmed,,,,,,,0.11045,0.00571
Kepler-167 Ae,Confirmed,4.0,3.7,46.0,,,,0.9064,0.0375
Kepler-1680 b,Confirmed,,,,,,,0.121,
Kepler-1681 Ab,Confirmed,,,,,,,0.228,
Kepler-1682 b,Confirmed,,,,,,,0.258,
Kepler-1683 b,Confirmed,,,,,,,0.167,
Kepler-1684 b,Confirmed,,,,,,,0.256,
Kepler-1685 b,Confirmed,,,,,,,0.23,
Kepler-1686 b,Confirmed,,,,,,,0.127,
Kepler-1687 b,Confirmed,,,,,,,0.148,
Kepler-1688 b,Confirmed,,,,,,,0.113,
Kepler-1689 b,Confirmed,,,,,,,0.084,
Kepler-168 b,Confirmed,,,,,,,0.13,0.059
Kepler-168 c,Confirmed,,,,,,,0.24,0.108
Kepler-1690 b,Confirmed,,,,,,,0.251,
Kepler-1691 b,Confirmed,,,,,,,0.164,
Kepler-1692 b,Confirmed,,,,,,,0.099,
Kepler-1693 b,Confirmed,,,,,,,0.115,
Kepler-1693 c,Confirmed,,,,,,,0.087154,
Kepler-1694 b,Confirmed,,,,,,,0.105,
Kepler-1695 b,Confirmed,,,,,,,0.1,
Kepler-1696 b,Confirmed,,,,,,,0.251,
Kepler-1697 b,Confirmed,,,,,,,0.112,
Kepler-1698 b,Confirmed,,,,,,,0.096,
Kepler-1699 b,Confirmed,,,,,,,0.14,
Kepler-169 b,Confirmed,,,,,,,0.101,0.007
Kepler-169 c,Confirmed,,,,,,,0.108,0.007
Kepler-169 d,Confirmed,,,,,,,0.112,0.008
Kepler-169 e,Confirmed,,,,,,,0.196,0.026
Kepler-169 f,Confirmed,,,,,,,0.23,0.021
Kepler-16 (AB)b,Confirmed,0.333,0.016,0.016,,,,0.7538,0.0023
Kepler-1700 b,Confirmed,,,,,,,0.259,
Kepler-1701 b,Confirmed,,,,,,,0.198,
Kepler-1702 b,Confirmed,,,,,,,0.143,
Kepler-1703 b,Confirmed,,,,,,,0.1062,0.017
Kepler-1703 c,Confirmed,,,,,,,0.1079,0.008
Kepler-1704 b,Confirmed,4.16,0.29,0.28,4.16,0.29,0.28,1.066,0.042
Kepler-1705 b,Confirmed,0.01406,0.00135,0.00151,,,,0.1811,0.0125
Kepler-1705 c,Confirmed,0.01705,0.00179,0.00192,,,,0.1829,0.0134
Kepler-1706 b,Confirmed,,0.4,0.4,2.0,0.4,0.4,,
Kepler-1707 b,Confirmed,,0.1,0.4,0.5,0.1,0.4,,
Kepler-1708 b,Confirmed,4.6,4.6,0.0,,,,0.8886,0.054
Kepler-1709 b,Confirmed,,,,,,,0.27871,
Kepler-170 b,Confirmed,,,,,,,0.285,0.02
Kepler-170 c,Confirmed,,,,,,,0.255,0.015
Kepler-1710 b,Confirmed,0.010997,0.018145,0.018145,0.010997,0.018145,0.018145,0.2308,0.0062
Kepler-1711 Ab,Confirmed,,,,,,,0.17156,
Kepler-1712 b,Confirmed,,,,,,,0.20368,
Kepler-1713 b,Confirmed,,,,,,,0.153155,
Kepler-1714 b,Confirmed,,,,,,,0.2912,
Kepler-1715 b,Confirmed,,,,,,,0.3693,
Kepler-1716 b,Confirmed,,,,,,,0.216319,
Kepler-1717 b,Confirmed,,,,,,,0.26666,
Kepler-1718 b,Confirmed,,,,,,,0.2291,
Kepler-1719 b,Confirmed,,,,,,,0.3524,
Kepler-171 b,Confirmed,,,,,,,0.209,0.094
Kepler-171 c,Confirmed,,,,,,,0.228,0.103
Kepler-171 d,Confirmed,,,,,,,0.169,0.08
Kepler-1720 b,Confirmed,,,,,,,0.286897,
Kepler-1721 b,Confirmed,,,,,,,0.27817,
Kepler-1722 b,Confirmed,,,,,,,0.25578,
Kepler-1723 b,Confirmed,,,,,,,0.2569,
Kepler-1724 b,Confirmed,,,,,,,0.253075,
Kepler-1725 Ab,Confirmed,,,,,,,0.25087,
Kepler-1726 b,Confirmed,,,,,,,0.223804,
Kepler-1727 b,Confirmed,,,,,,,0.28308,
Kepler-1728 b,Confirmed,,,,,,,0.26363,
Kepler-1729 b,Confirmed,,,,,,,0.3474,
Kepler-172 b,Confirmed,,,,,,,0.21,0.037
Kepler-172 c,Confirmed,,,,,,,0.255,0.047
Kepler-172 d,Confirmed,,,,,,,0.201,0.036
Kepler-172 e,Confirmed,,,,,,,0.246,0.05
Kepler-1730 b,Confirmed,,,,,,,0.40013,
Kepler-1731 b,Confirmed,,,,,,,0.261658,
Kepler-1732 b,Confirmed,,,,,,,0.36569,
Kepler-1733 b,Confirmed,,,,,,,0.324367,
Kepler-1734 b,Confirmed,,,,,,,0.2755,
Kepler-1735 b,Confirmed,,,,,,,0.10652,
Kepler-1736 b,Confirmed,,,,,,,0.34585,
Kepler-1737 b,Confirmed,,,,,,,0.48131,
Kepler-1738 b,Confirmed,,,,,,,0.25194,
Kepler-1739 b,Confirmed,,,,,,,0.2168,
Kepler-173 b,Confirmed,,,,,,,0.115,0.057
Kepler-173 c,Confirmed,,,,,,,0.217,0.108
Kepler-1740 b,Confirmed,,,,,,,0.29646,
Kepler-1741 b,Confirmed,,,,,,,0.11357,
Kepler-1742 b,Confirmed,,,,,,,0.19431,
Kepler-1743 b,Confirmed,,,,,,,0.142637,
Kepler-1744 Ab,Confirmed,,,,,,,0.33607,
Kepler-1745 b,Confirmed,,,,,,,0.17201,
Kepler-1746 b,Confirmed,,,,,,,0.797,
Kepler-1747 b,Confirmed,,,,,,,0.3805,
Kepler-1748 b,Confirmed,,,,,,,0.242013,
Kepler-1749 Ab,Confirmed,,,,,,,0.1439,
Kepler-174 b,Confirmed,,,,,,,0.175,0.01
Kepler-174 c,Confirmed,,,,,,,0.133,0.008
Kepler-174 d,Confirmed,,,,,,,0.195,0.012
Kepler-1750 b,Confirmed,,,,,,,0.53565,
Kepler-1751,Confirmed,,,,,,,0.16273,
Kepler-1752 b,Confirmed,,,,,,,0.405,0.00393
Kepler-1753 b,Confirmed,,,,,,,0.20225,
Kepler-1754 b,Confirmed,,,,,,,0.2177,
Kepler-1755 b,Confirmed,,,,,,,0.5278729,
Kepler-1756 b,Confirmed,,,,,,,0.13132,
Kepler-1757 b,Confirmed,,,,,,,0.26288,
Kepler-1758 b,Confirmed,,,,,,,0.2293,
Kepler-1759 b,Confirmed,,,,,,,0.080623,
Kepler-175 b,Confirmed,,,,,,,0.228,0.114
Kepler-175 c,Confirmed,,,,,,,0.277,0.139
Kepler-1760 Ab,Confirmed,,,,,,,0.204293,
Kepler-1761 b,Confirmed,,,,,,,0.1241,
Kepler-1762 b,Confirmed,,,,,,,0.2462,
Kepler-1763 b,Confirmed,,,,,,,0.102285,
Kepler-1764 b,Confirmed,,,,,,,0.40637,
Kepler-1765 b,Confirmed,,,,,,,0.22259,
Kepler-1766 b,Confirmed,,,,,,,0.20332,
Kepler-1767 b,Confirmed,,,,,,,0.268795,
Kepler-1768 b,Confirmed,,,,,,,0.19922,
Kepler-1769 b,Confirmed,,,,,,,0.39834,
Kepler-176 b,Confirmed,,,,,,,0.128,0.065
Kepler-176 c,Confirmed,,,,,,,0.232,0.119
Kepler-176 d,Confirmed,,,,,,,0.224,0.118
Kepler-176 e,Confirmed,,,,,,,0.129,0.013
Kepler-1770 b,Confirmed,,,,,,,0.25346,
Kepler-1771 Ab,Confirmed,,,,,,,0.36177,
Kepler-1772 b,Confirmed,,,,,,,0.23963,
Kepler-1773 b,Confirmed,,,,,,,0.31267,
Kepler-1774 b,Confirmed,,,,,,,0.28379,
Kepler-1775 b,Confirmed,,,,,,,0.32537,
Kepler-1776 b,Confirmed,,,,,,,0.232984,
Kepler-1777 b,Confirmed,,,,,,,0.19012,
Kepler-1778 b,Confirmed,,,,,,,0.269125,
Kepler-1779 b,Confirmed,,,,,,,0.270579,
Kepler-177 b,Confirmed,0.01837,0.00258,0.00271,,,,0.312,0.013
Kepler-177 c,Confirmed,0.04625,0.00787,0.0085,,,,0.779,0.03
Kepler-1780 b,Confirmed,,,,,,,0.32171,0.00187
Kepler-1781 b,Confirmed,,,,,,,0.2123,
Kepler-1782 b,Confirmed,,,,,,,0.19886,
Kepler-1783 b,Confirmed,,,,,,,0.11771,
Kepler-1784 b,Confirmed,,,,,,,0.249739,
Kepler-1785 b,Confirmed,,,,,,,0.24124,
Kepler-1786 b,Confirmed,,,,,,,0.28219,
Kepler-1787 b,Confirmed,,,,,,,0.20688,
Kepler-1788 b,Confirmed,,,,,,,0.212197,
Kepler-1789 b,Confirmed,,,,,,,0.252594,
Kepler-178 b,Confirmed,,,,,,,0.259,0.112
Kepler-178 c,Confirmed,,,,,,,0.257,0.11
Kepler-178 d,Confirmed,,,,,,,0.352,0.152
Kepler-1790 b,Confirmed,,,,,,,0.2801,
Kepler-1791 Ab,Confirmed,,,,,,,0.27844,
Kepler-1792 b,Confirmed,,,,,,,0.2248,
Kepler-1793 Ab,Confirmed,,,,,,,0.3381,
Kepler-1794 c,Confirmed,,,,,,,0.160069,
Kepler-1795 Ab,Confirmed,,,,,,,0.14836,
Kepler-1796 b,Confirmed,,,,,,,0.2453,
Kepler-1797 b,Confirmed,,,,,,,0.272792,
Kepler-1798 b,Confirmed,,,,,,,0.206006,0.00143
Kepler-1799 b,Confirmed,,,,,,,0.36828,
Kepler-179 b,Confirmed,,,,,,,0.146,0.061
Kepler-179 c,Confirmed,,,,,,,0.178,0.072
Kepler-17 b,Confirmed,2.45,0.014,0.014,,,,1.31,0.02
Kepler-1800 b,Confirmed,,,,,,,0.0889284,
Kepler-1801 b,Confirmed,,,,,,,0.241701,
Kepler-1801 c,Confirmed,,,,,,,0.36212,
Kepler-1802 Bb,Confirmed,,,,,,,0.111,0.0098
Kepler-1802 Bc,Confirmed,,,,,,,0.168,0.015
Kepler-1804 b,Confirmed,,,,,,,0.14239,
Kepler-1805 b,Confirmed,,,,,,,0.13784,
Kepler-1806 b,Confirmed,,,,,,,0.2101,
Kepler-1807 b,Confirmed,,,,,,,0.241228,
Kepler-1808 b,Confirmed,,,,,,,0.26987,
Kepler-1809 b,Confirmed,,,,,,,0.13498,
Kepler-180 b,Confirmed,,,,,,,0.134,0.06
Kepler-180 c,Confirmed,,,,,,,0.269,0.12
Kepler-1810 b,Confirmed,,,,,,,0.34954,
Kepler-1811 b,Confirmed,,,,,,,0.3433,
Kepler-1812 b,Confirmed,,,,,,,0.207415,
Kepler-1813 b,Confirmed,,,,,,,0.12606,
Kepler-1814 b,Confirmed,,,,,,,0.21135,
Kepler-1814 c,Confirmed,,,,,,,0.14765,
Kepler-1815 b,Confirmed,,,,,,,0.245242,
Kepler-1816 b,Confirmed,,,,,,,0.17557,
Kepler-1817 b,Confirmed,,,,,,,0.20279,
Kepler-1818 b,Confirmed,,,,,,,0.152878,0.0017
Kepler-1819 b,Confirmed,,,,,,,0.34825,
Kepler-181 Ab,Confirmed,,,,,,,0.134,0.0098
Kepler-181 Ac,Confirmed,,,,,,,0.2195,0.017
Kepler-1820 b,Confirmed,,,,,,,0.278243,
Kepler-1821 b,Confirmed,,,,,,,0.23124,
Kepler-1822 b,Confirmed,,,,,,,0.23615,
Kepler-1823 b,Confirmed,,,,,,,0.1861,
Kepler-1824 b,Confirmed,,,,,,,0.212438,
Kepler-1825 b,Confirmed,,,,,,,0.12686,
Kepler-1826 b,Confirmed,,,,,,,0.13159,
Kepler-1827 b,Confirmed,,,,,,,0.16558,
Kepler-1828 b,Confirmed,,,,,,,0.188769,
Kepler-1829 b,Confirmed,,,,,,,0.221145,
Kepler-182 b,Confirmed,,,,,,,0.23,0.105
Kepler-182 c,Confirmed,,,,,,,0.306,0.136
Kepler-1830 b,Confirmed,,,,,,,0.297076,
Kepler-1831 b,Confirmed,,,,,,,0.1758,
Kepler-1832 b,Confirmed,,,,,,,0.10947,
Kepler-1833 b,Confirmed,,,,,,,0.116,
Kepler-1834 b,Confirmed,,,,,,,0.13016,
Kepler-1834 c,Confirmed,,,,,,,0.1299,
Kepler-1835 b,Confirmed,,,,,,,0.315267,
Kepler-1836 b,Confirmed,,,,,,,0.22777,
Kepler-1837 b,Confirmed,,,,,,,0.18438,
Kepler-1838 b,Confirmed,,,,,,,0.1481,
Kepler-1839 b,Confirmed,,,,,,,0.17388,
Kepler-183 b,Confirmed,,,,,,,0.184,0.079
Kepler-183 c,Confirmed,,,,,,,0.203,0.087
Kepler-1840 b,Confirmed,,,,,,,0.24775,
Kepler-1841 b,Confirmed,,,,,,,0.13284,
Kepler-1842 b,Confirmed,,,,,,,0.209974,
Kepler-1843 b,Confirmed,,,,,,,0.24168,
Kepler-1844 b,Confirmed,,,,,,,0.273425,
Kepler-1845 b,Confirmed,,,,,,,0.21751,
Kepler-1846 b,Confirmed,,,,,,,0.157348,
Kepler-1847 b,Confirmed,,,,,,,0.244903,
Kepler-1848 b,Confirmed,,,,,,,0.125686,
Kepler-1849 b,Confirmed,,,,,,,0.212938,
Kepler-184 b,Confirmed,,,,,,,0.211,0.119
Kepler-184 c,Confirmed,,,,,,,0.176,0.099
Kepler-184 d,Confirmed,,,,,,,0.222,0.126
Kepler-1850 b,Confirmed,,,,,,,0.06504,
Kepler-1851 b,Confirmed,,,,,,,0.348,
Kepler-1852 b,Confirmed,,,,,,,0.16826,
Kepler-1853 b,Confirmed,,,,,,,0.135482,
Kepler-1854 Ab,Confirmed,,,,,,,0.25489,
Kepler-1855 Ab,Confirmed,,,,,,,0.10849,
Kepler-1856 Ab,Confirmed,,,,,,,0.154734,
Kepler-1857 b,Confirmed,,,,,,,0.1749,
Kepler-1858 b,Confirmed,,,,,,,0.21599,
Kepler-1859 b,Confirmed,,,,,,,0.141236,
Kepler-1859 c,Confirmed,,,,,,,0.15318,
Kepler-185 Ab,Confirmed,,,,,,,0.1008,0.0054
Kepler-185 Ac,Confirmed,,,,,,,0.1731,0.008
Kepler-1860 b,Confirmed,,,,,,,0.10158,
Kepler-1861 b,Confirmed,,,,,,,0.19687,
Kepler-1862 b,Confirmed,,,,,,,0.19654,
Kepler-1863 b,Confirmed,,,,,,,0.20189,
Kepler-1864 b,Confirmed,,,,,,,0.06727,
Kepler-1865 b,Confirmed,,,,,,,0.140674,
Kepler-1866 b,Confirmed,,,,,,,0.18575,
Kepler-1867 b,Confirmed,,,,,,,0.103471,
Kepler-1868 b,Confirmed,,,,,,,0.280982,
Kepler-1869 b,Confirmed,,,,,,,0.099876,
Kepler-1869 c,Confirmed,,,,,,,0.074039,
Kepler-186 b,Confirmed,,,,,,,0.095,0.011
Kepler-186 c,Confirmed,,,,,,,0.112,0.012
Kepler-186 d,Confirmed,,,,,,,0.125,0.014
Kepler-186 e,Confirmed,,,,,,,0.113,0.012
Kepler-186 f,Confirmed,,,,,,,0.104,0.007
Kepler-1870 b,Confirmed,,,,,,,0.187476,
Kepler-1871 b,Confirmed,,,,,,,0.21599,
Kepler-1872 b,Confirmed,,,,,,,0.21269,
Kepler-1873 b,Confirmed,,,,,,,0.145036,
Kepler-1874 Ab,Confirmed,,,,,,,0.19725,
Kepler-1875 Ab,Confirmed,,,,,,,0.287878,
Kepler-1876 b,Confirmed,0.0076,0.0076,0.0,,,,0.0761,0.00232
Kepler-1877 Ab,Confirmed,,,,,,,0.05567,
Kepler-1878 Ab,Confirmed,,,,,,,0.2605,
Kepler-1879 b,Confirmed,,,,,,,0.184237,
Kepler-187 b,Confirmed,,,,,,,0.126,0.025
Kepler-187 c,Confirmed,,,,,,,0.238,0.046
Kepler-1880 b,Confirmed,,,,,,,0.18885,
Kepler-1881 Ab,Confirmed,,,,,,,0.26595,
Kepler-1882 Ab,Confirmed,,,,,,,0.132636,
Kepler-1883 b,Confirmed,,,,,,,0.29004,
Kepler-1884 b,Confirmed,,,,,,,0.16184,
Kepler-1885 b,Confirmed,,,,,,,0.134812,
Kepler-1886 Ab,Confirmed,,,,,,,0.230308,
Kepler-1887 b,Confirmed,,,,,,,0.260908,
Kepler-1888 Ab,Confirmed,,,,,,,0.1182791,
Kepler-1889 b,Confirmed,,,,,,,0.262613,
Kepler-188 b,Confirmed,,,,,,,0.15,0.068
Kepler-188 c,Confirmed,,,,,,,0.285,0.129
Kepler-1890 b,Confirmed,,,,,,,0.077492,
Kepler-1891 b,Confirmed,,,,,,,0.1357,
Kepler-1892 b,Confirmed,,,,,,,0.16389,
Kepler-1893 b,Confirmed,,,,,,,0.15211,
Kepler-1894 Ab,Confirmed,,,,,,,0.107,
Kepler-1894 Ac,Confirmed,,,,,,,0.141753,
Kepler-1895 b,Confirmed,,,,,,,0.18905,
Kepler-1896 b,Confirmed,,,,,,,0.277,
Kepler-1897 Ab,Confirmed,,,,,,,0.25105,
Kepler-1898 b,Confirmed,,,,,,,0.083264,
Kepler-1899 b,Confirmed,,,,,,,0.1383,
Kepler-189 b,Confirmed,,,,,,,0.108,0.054
Kepler-189 c,Confirmed,,,,,,,0.212,0.106
Kepler-18 b,Confirmed,0.022,0.011,0.011,,,,0.178,0.009
Kepler-18 c,Confirmed,0.054,0.006,0.006,,,,0.49,0.023
Kepler-18 d,Confirmed,0.052,0.004,0.004,,,,0.623,0.029
Kepler-1900 b,Confirmed,,,,,,,0.1448,
Kepler-1901 b,Confirmed,,,,,,,0.1315,
Kepler-1902 Ab,Confirmed,,,,,,,0.10483,
Kepler-1903 b,Confirmed,,,,,,,0.20394,
Kepler-1904 b,Confirmed,,,,,,,0.124,
Kepler-1905 b,Confirmed,,,,,,,0.129,
Kepler-1906 b,Confirmed,,,,,,,0.24766,0.00107
Kepler-1907 b,Confirmed,,,,,,,0.07759,
Kepler-1907 c,Confirmed,,,,,,,0.10304,
Kepler-1909 Ab,Confirmed,,,,,,,0.09742,
Kepler-190 b,Confirmed,,,,,,,0.139,0.01
Kepler-190 c,Confirmed,,,,,,,0.13,0.009
Kepler-1910 Ab,Confirmed,,,,,,,0.10563,
Kepler-1911 b,Confirmed,,,,,,,0.0902,
Kepler-1912 b,Confirmed,,,,,,,0.121038,
Kepler-1913 b,Confirmed,,,,,,,0.13543,
Kepler-1914 Ab,Confirmed,,,,,,,0.26247,
Kepler-1915 Ab,Confirmed,,,,,,,0.28709,
Kepler-1916 Ab,Confirmed,,,,,,,0.23347,0.00232
Kepler-1917 Ab,Confirmed,,,,,,,0.16853,
Kepler-1918 b,Confirmed,,,,,,,0.20493,
Kepler-1919 b,Confirmed,,,,,,,0.2341,
Kepler-191 b,Confirmed,,,,,,,0.12,0.059
Kepler-191 c,Confirmed,,,,,,,0.166,0.082
Kepler-191 d,Confirmed,,,,,,,0.203,0.012
Kepler-1920 b,Confirmed,,,,,,,0.26354,
Kepler-1921 b,Confirmed,,,,,,,0.25819,
Kepler-1921 c,Confirmed,,,,,,,0.15051,
Kepler-1922 Ab,Confirmed,,,,,,,0.2043,
Kepler-1923 b,Confirmed,,,,,,,0.17477,
Kepler-1924 Ab,Confirmed,,,,,,,0.23678,
Kepler-1925 b,Confirmed,,,,,,,0.27,
Kepler-1926 Ab,Confirmed,,,,,,,0.20653,
Kepler-1927 Ab,Confirmed,,,,,,,0.30387,0.00116
Kepler-1928 b,Confirmed,,,,,,,0.17772,0.00696
Kepler-1929 Ab,Confirmed,,,,,,,0.27407,
Kepler-192 Ab,Confirmed,,,,,,,0.244,0.04
Kepler-192 Ac,Confirmed,,,,,,,0.249,0.046
Kepler-192 Ad,Confirmed,,,,,,,0.091,0.006
Kepler-1930 b,Confirmed,,,,,,,0.13641,
Kepler-1931 b,Confirmed,,,,,,,0.23669,
Kepler-1932 Ab,Confirmed,,,,,,,0.135142,
Kepler-1933 Ab,Confirmed,,,,,,,0.105256,
Kepler-1934 b,Confirmed,,,,,,,0.08145,
Kepler-1935 Ab,Confirmed,,,,,,,0.223,
Kepler-1936 b,Confirmed,,,,,,,0.28245,
Kepler-1937 Ab,Confirmed,,,,,,,0.2694,
Kepler-1938 b,Confirmed,,,,,,,0.16308,
Kepler-1939 Ab,Confirmed,,,,,,,0.103917,
Kepler-193 b,Confirmed,,,,,,,0.213,0.096
Kepler-193 c,Confirmed,,,,,,,0.245,0.111
Kepler-1940 b,Confirmed,,,,,,,0.13802,
Kepler-1941 b,Confirmed,,,,,,,0.23633,
Kepler-1942 Ab,Confirmed,,,,,,,0.18887,0.00098
Kepler-1943 Ab,Confirmed,,,,,,,0.1381,
Kepler-1944 Ab,Confirmed,,,,,,,0.24614,
Kepler-1945 Ab,Confirmed,,,,,,,0.115,
Kepler-1946 b,Confirmed,,,,,,,0.22197,
Kepler-1947 b,Confirmed,,,,,,,0.0901,
Kepler-1948 Ab,Confirmed,,,,,,,0.09207,
Kepler-1949 Ab,Confirmed,,,,,,,0.19797,
Kepler-194 b,Confirmed,,,,,,,0.135,0.07
Kepler-194 c,Confirmed,,,,,,,0.231,0.121
Kepler-194 d,Confirmed,,,,,,,0.214,0.112
Kepler-1950 Ab,Confirmed,,,,,,,0.13623,
Kepler-1951 b,Confirmed,,,,,,,0.20707,
Kepler-1952 Ab,Confirmed,,,,,,,0.11054,
Kepler-1953 b,Confirmed,,,,,,,0.114703,
Kepler-1954 b,Confirmed,,,,,,,0.16076,
Kepler-1955 b,Confirmed,,,,,,,0.10402,
Kepler-1956 b,Confirmed,,,,,,,0.09715,
Kepler-1957 Ab,Confirmed,,,,,,,0.084192,
Kepler-1958 Ab,Confirmed,,,,,,,0.18298,
Kepler-1959 b,Confirmed,,,,,,,0.10197,
Kepler-195 b,Confirmed,,,,,,,0.181,0.066
Kepler-195 c,Confirmed,,,,,,,0.138,0.051
Kepler-1960 b,Confirmed,,,,,,,0.1166,
Kepler-1961 b,Confirmed,,,,,,,0.14435,
Kepler-1962 b,Confirmed,,,,,,,0.10831,
Kepler-1963 b,Confirmed,,,,,,,0.0664088,
Kepler-1964 b,Confirmed,,,,,,,0.15889,
Kepler-1965 Ab,Confirmed,,,,,,,0.1208,
Kepler-1966 Ab,Confirmed,,,,,,,0.0985627,
Kepler-1967 b,Confirmed,,,,,,,0.0651464,
Kepler-1968 b,Confirmed,,,,,,,0.134,
Kepler-1969 Ab,Confirmed,,,,,,,0.14997,
Kepler-196 b,Confirmed,,,,,,,0.17,0.013
Kepler-196 c,Confirmed,,,,,,,0.2,0.015
Kepler-196 d,Confirmed,,,,,,,0.2373,
Kepler-1970 b,Confirmed,,0.4,0.4,2.1,0.4,0.4,,
Kepler-1971 b,Confirmed,0.00107,0.00104,0.0,,,,0.0455,0.0027
Kepler-1972 b,Confirmed,0.00636,0.00195,0.00176,,,,0.07155,0.00366
Kepler-1972 c,Confirmed,0.00664,0.00205,0.00186,,,,0.07744,0.0045
Kepler-1973 Ab,Confirmed,0.0544,0.009,0.009,,,,0.384,0.0045
Kepler-1973 Ac,Confirmed,0.6601,0.126,0.126,,,,,
Kepler-1974 b,Confirmed,,,,,,,0.1981,0.0107
Kepler-1975 Ab,Confirmed,,,,,,,0.2088,0.0161
Kepler-1976 b,Confirmed,,,,,,,1.09,0.13
Kepler-1977 b,Confirmed,,,,,,,0.1624,
Kepler-1978 b,Confirmed,,,,,,,0.27,
Kepler-1979 Ab,Confirmed,,,,,,,0.38559,
Kepler-197 Ab,Confirmed,,,,,,,0.09921,0.00312
Kepler-197 Ac,Confirmed,0.017,0.0091,0.01,,,,0.11669,0.00366
Kepler-197 Ad,Confirmed,,,,,,,0.10625,0.0036
Kepler-197 Ae,Confirmed,,,,,,,0.0827,0.01017
Kepler-1980 b,Confirmed,,,,,,,0.1972,0.0107
Kepler-1981 Ab,Confirmed,,,,,,,0.83968,
Kepler-1982 b,Confirmed,,,,,,,0.077313,0.00187
Kepler-1983 b,Confirmed,,,,,,,0.14658,
Kepler-1984 Ab,Confirmed,,,,,,,0.071871,
Kepler-1985 b,Confirmed,,,,,,,0.1981,
Kepler-1986 Ab,Confirmed,,,,,,,0.2632,
Kepler-1987 b,Confirmed,,,,,,,0.1347,
Kepler-1987 c,Confirmed,,,,,,,0.1481,
Kepler-1987 d,Confirmed,,,,,,,0.29129,
Kepler-1987 e,Confirmed,,,,,,,0.21884,
Kepler-1988 Ab,Confirmed,,,,,,,0.1383,
Kepler-1989 Ab,Confirmed,,,,,,,0.42475,
Kepler-198 b,Confirmed,,,,,,,0.252,0.037
Kepler-198 c,Confirmed,,,,,,,0.22,0.033
Kepler-198 d,Confirmed,,,,,,,0.136,0.006
Kepler-1990 b,Confirmed,,,,,,,0.34919,
Kepler-1990 c,Confirmed,,,,,,,0.1059,
Kepler-1991 b,Confirmed,,,,,,,0.16469,
Kepler-1991 c,Confirmed,,,,,,,0.25944,
Kepler-1992 b,Confirmed,,,,,,,0.09162,
Kepler-1993 b,Confirmed,,,,,,,0.39495,
Kepler-1994 b,Confirmed,,,,,,,0.05549,
Kepler-1995 b,Confirmed,,,,,,,0.4119,
Kepler-1996 b,Confirmed,,,,,,,0.20466,
Kepler-1996 c,Confirmed,,,,,,,0.25096,
Kepler-1997 Ab,Confirmed,,,,,,,0.21795,
Kepler-1998 b,Confirmed,,,,,,,0.061933,
Kepler-1999 b,Confirmed,,,,,,,0.31698,
Kepler-199 Ab,Confirmed,,,,,,,0.277,0.05
Kepler-199 Ac,Confirmed,,,,,,,0.29,0.052
Kepler-19 b,Confirmed,0.02643,0.00472,0.00503,,,,0.198,0.004
Kepler-19 c,Confirmed,0.04122,0.0085,0.0085,,,,,
Kepler-19 d,Confirmed,0.07079,0.01762,0.00378,0.0708,0.018,0.0038,,
Kepler-2000 b,Confirmed,,,,,,,0.2962,
Kepler-2000 c,Confirmed,,,,,,,0.196,
Kepler-2001 b,Confirmed,,,,,,,0.1062,
Kepler-2001 c,Confirmed,,,,,,,0.364,
Kepler-2003 b,Confirmed,,,,,,,0.062,0.00303
Kepler-200 b,Confirmed,,,,,,,0.19,0.037
Kepler-200 c,Confirmed,,,,,,,0.142,0.026
Kepler-201 b,Confirmed,,,,,,,0.219,0.043
Kepler-201 c,Confirmed,,,,,,,0.254,0.054
Kepler-202 b,Confirmed,,,,,,,0.145,0.009
Kepler-202 c,Confirmed,,,,,,,0.165,0.009
Kepler-203 b,Confirmed,,,,,,,0.229,0.046
Kepler-203 c,Confirmed,,,,,,,0.22,0.042
Kepler-203 d,Confirmed,,,,,,,0.128,0.025
Kepler-204 b,Confirmed,,,,,,,0.226,0.048
Kepler-204 c,Confirmed,,,,,,,0.16,0.035
Kepler-205 b,Confirmed,,,,,,,0.135,0.012
Kepler-205 c,Confirmed,,,,,,,0.146,0.011
Kepler-206 b,Confirmed,,,,,,,0.107,0.021
Kepler-206 c,Confirmed,,,,,,,0.158,0.03
Kepler-206 d,Confirmed,,,,,,,0.106,0.021
Kepler-207 b,Confirmed,,,,,,,0.14,0.027
Kepler-207 c,Confirmed,,,,,,,0.134,0.026
Kepler-207 d,Confirmed,,,,,,,0.295,0.056
Kepler-208 b,Confirmed,,,,,,,0.145,0.027
Kepler-208 c,Confirmed,,,,,,,0.124,0.023
Kepler-208 d,Confirmed,,,,,,,0.107,0.021
Kepler-208 e,Confirmed,,,,,,,0.132,0.025
Kepler-209 b,Confirmed,,,,,,,0.202,0.03
Kepler-209 c,Confirmed,,,,,,,0.277,0.045
Kepler-20 Ab,Confirmed,0.029963,0.004597,0.00465,0.029931,0.004587,0.004587,0.17905,0.01633
Kepler-20 Ac,Confirmed,0.0349,0.0066,0.0066,,,,0.2569,0.01195
Kepler-20 Ad,Confirmed,0.040733,0.013252,0.013252,,,,0.22232,0.00616
Kepler-20 Ae,Confirmed,0.0097,0.009699,0.0,,,,0.06994,0.00937
