name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
HD 126525 b,Confirmed,,0.0182,0.0182,0.224,0.0182,0.0182,,
HD 126614 Ab,Confirmed,,0.04,0.04,0.38,0.04,0.04,,
HD 12661 b,Confirmed,,,,2.3,,,,
HD 12661 c,Confirmed,,,,1.57,,,,
HD 127506 b,Confirmed,,0.025,0.016,0.086,0.025,0.016,,
HD 128311 b,Confirmed,,0.022,0.022,2.18,0.022,0.022,,
HD 128311 c,Confirmed,3.79,0.43,0.92,3.21,0.3,0.3,,
HD 128356 b,Confirmed,,0.07,0.07,0.89,0.07,0.07,,
HD 128717 b,Confirmed,12.8,,,,,,,
HD 129445 b,Confirmed,,0.6,0.6,1.6,0.6,0.6,,
HD 130322 b,Confirmed,1.1,0.1,1.0,1.02,,,,
HD 131496 b,Confirmed,,0.2,0.2,2.2,0.2,0.2,,
HD 13167 Ab,Confirmed,,0.16,0.16,3.31,0.16,0.16,1.167,
HD 132406 b,Confirmed,6.7,2.1,2.1,5.61,,,,
HD 132563 Bb,Confirmed,,0.09,0.09,1.49,0.09,0.09,,
HD 133131 Ab,Confirmed,,0.04,0.04,1.43,0.04,0.04,,
HD 133131 Ac,Confirmed,,0.14,0.14,0.48,0.14,0.14,,
HD 133131 Bb,Confirmed,,0.05,0.05,2.5,0.05,0.05,,
HD 134060 b,Confirmed,,0.0021,0.0021,0.0351,0.0021,0.0021,,
HD 134060 c,Confirmed,,0.071,0.071,0.1507,0.071,0.071,,
HD 134606 Ab,Confirmed,,0.003,0.003,0.0292,0.003,0.003,,
HD 134606 Ac,Confirmed,,0.0048,0.0048,0.0382,0.0048,0.0048,,
HD 134606 Ad,Confirmed,,0.0091,0.0091,0.141,0.0091,0.0091,,
HD 134606 Ae,Confirmed,,0.0011,0.0011,0.00736,0.0011,0.0011,,
HD 134606 Af,Confirmed,,0.0023,0.00233,0.01737,0.0023,0.00233,,
HD 135625 b,Confirmed,2.3,0.3,0.8,,,,,
HD 135872 Ab,Confirmed,5.489,0.098,1.443,,,,,
HD 136418 b,Confirmed,,0.1,0.1,2.0,0.1,0.1,,
HD 136925 b,Confirmed,,0.078,0.078,0.84,0.078,0.078,,
HD 13724 c,Confirmed,,0.021,0.025,0.16,0.021,0.025,,
HD 137388 b,Confirmed,,0.029,0.029,0.223,0.029,0.029,,
HD 137496 b,Confirmed,0.01271,0.00173,0.00173,,,,0.1169,0.0054
HD 137496 c,Confirmed,,0.11,0.11,7.66,0.11,0.11,,
HD 13808 b,Confirmed,,0.0025,0.0025,0.03599,0.0025,0.0025,,
HD 13808 c,Confirmed,,0.0038,0.0038,0.0315,0.0038,0.0038,,
HD 13908 b,Confirmed,,0.035,0.035,0.865,0.035,0.035,,
HD 13908 c,Confirmed,,0.25,0.25,5.13,0.25,0.25,,
HD 13931 b,Confirmed,,0.15,0.15,1.88,0.15,0.15,,
HD 139357 b,Confirmed,,2.15,2.15,9.76,2.15,2.15,,
HD 1397 b,Confirmed,0.415,0.02,0.02,,,,1.026,0.027
HD 14082 Bb,Confirmed,5.4,3.0,3.0,,,,,
HD 140901 Ab,Confirmed,,0.009,0.003,0.05,0.009,0.003,,
HD 140901 Ac,Confirmed,,5.0,1.34,6.284,5.0,1.34,,
HD 141399 b,Confirmed,,0.03,0.03,0.451,0.03,0.03,,
HD 141399 c,Confirmed,,0.08,0.08,1.33,0.08,0.08,,
HD 141399 d,Confirmed,,0.08,0.08,1.18,0.08,0.08,,
HD 141399 e,Confirmed,,0.1,0.1,0.66,0.1,0.1,,
HD 142022 Ab,Confirmed,4.51,0.61,0.91,5.1,1.5,2.6,,
HD 142245 Ab,Confirmed,,0.2,0.2,1.9,0.2,0.2,,
HD 142415 b,Confirmed,,,,1.62,,,,
HD 142666 b,Confirmed,5.0,,,,,,,
HD 142 Ab,Confirmed,,0.15,0.15,1.25,0.15,0.15,,
